label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,24_154,24_155,24_156,24_157,24_158,24_159,24_160,24_161,24_162,24_163,24_164,24_165,24_166,24_167,24_168,24_169,24_170,24_171,24_172,24_173,24_174,24_175,24_176,24_177,24_178,24_179,24_180,24_181,24_182,24_183,24_184,24_185,24_186,24_187,24_188,24_189,24_190,24_191,24_192,24_193,24_194,24_195,24_196,24_197,24_198,24_199,24_200,24_201,24_202,24_203,24_204,24_205,24_206,24_207,blank1,blank2,blank3,blank4,blank5,blank6
g,0,20,23,346.0555,11.51556,0.8436747,,AMP,C00020,-1,2903.215,346.0555,546555.9,309619.8,163523.6,2233608,935677.6,1086610,3172684,336912,285595.2,4538008,331847.7,522511.4,3171828,804599.9,840797.4,3464486,707163.9,386800.6,1134738,356372.1,223607,1602179,168264.6,63011.29,1434885,659489.7,350923.9,710791.2,230663.6,434812.1,529341.4,166672.6,194158.3,853677.8,335753.4,520686.7,650002.1,345060.5,104548.4,374711.2,314679.9,670811.2,1204052,151409.6,293570,385375.7,211638.3,224972.4,816588.4,286452.2,224648.2,479973.2,181924.3,189942.9,1290.709,686.1368,728.8941,6868.301,1614.779,1285.442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,21,17,347.0589,11.48748,0.8286947,,AMP,C00020,-1,12.13447,347.0589,22427.42,17046.22,2331.26,124500.2,15801.82,44879.65,21482.01,10834.4,33794.68,382281,10437.09,10350.97,76294.83,15816.3,15541.36,326813.3,27317.18,14878.06,51902.34,6089.826,5969.355,63068.63,2995.874,3950.687,39862.86,32624.33,19495.63,47662.02,11486.51,14882.8,46826.6,3503.015,10194.26,40685.75,11726.66,13809.79,10531.39,6624.169,1744.683,12255.25,14097.92,16095.42,68801.73,14625.82,6491.482,24455.84,1921.475,12863.28,21257.61,12690.51,4272.759,16899.78,14190.06,5968.055,0,0,0,382.1984,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,22,54,132.0298,4.28266,0.8463662,,aspartate,C00049,-1,7574.599,132.0298,1000558,302551.2,755697.9,264472.8,763280.4,767554.4,2101759,1034772,72097.31,1249686,122927.7,1110282,2387966,975888.6,518162.8,489708.8,1005030,421002.7,1578157,712463.1,652993.9,947308.9,752429.9,615028.9,2128322,963666.3,197628.9,429102.4,305544,264449.2,350490.8,358145.7,330008.6,1306084,138318.2,466958.5,262604.8,750162.9,317522.4,555589.9,383207.2,423846.8,1569971,944140.7,471966,90234.54,1137319,505778.8,662578.5,168212.6,410611.8,433456.7,1354846,346247.1,28742.97,22684.09,20554.72,1023.639,0,400.3925
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,23,37,133.0333,4.267984,0.842288,,aspartate,C00049,-1,31.31184,133.0333,17872.18,7908.536,8056.127,1715.294,14677.87,9898.312,36771.01,17745.53,558.3359,23115.04,2724.398,20702.77,42658.88,25686.52,10095.53,11423.95,20603.84,4734.166,31400.91,14751.11,12111.36,18931.88,14426.07,7584.214,34179.97,15866.68,1478.183,8268.283,9930.265,5303.004,9507.83,8563.701,4001.66,46188.36,2968.257,10461.69,8467.595,25427.53,7440.465,19707.18,9283.016,9259.738,50643.09,34724.36,14043.25,3251.077,28240.56,11766.86,43005.98,1869.018,11944.82,27450.92,40319.51,9648.362,0,518.0287,0,397.5342,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,0,24,33,505.997,12.23783,0.8416486,,ATP,C00002,-1,1969.935,505.997,339583.2,48801.43,304615.6,27172.25,49565.28,186411.7,57633.57,430411,19727.29,357026.1,13692.32,39866.11,414705.9,64017.38,180430.5,32143.2,32386.76,58342.28,166867.6,102836.3,333428.7,44637.5,326254.4,178140.1,291675.4,49666.34,27840.55,47427.13,45911.2,56384,19146.28,48394.99,111869.9,42101.6,24409.73,199280.2,23462.18,209136.4,98177.28,82359.7,58527.83,69516.02,135055.7,108827,102204.3,8510.506,119603.2,43803.79,126974.9,35287.97,227423.6,27747.35,119161,79359.4,0,1198.287,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
