"","compound","treatment","sample.type","mean.k","sd.k","mean.A","sd.A"
"195","sn-glycerol-3-phosphate","15N","SML",NA,NA,NA,NA
"196","succinate","15N","BBD",NA,NA,NA,NA
"197","succinate","15N","HBBD",NA,NA,NA,NA
"198","succinate","15N","SML",NA,NA,NA,NA
"199","taurine","15N","BBD",NA,NA,NA,NA
"200","taurine","15N","HBBD",NA,NA,NA,NA
"201","taurine","15N","SML",NA,NA,NA,NA
"202","thiamine-phosphate","15N","BBD",0.00327005656818371,0.0020298963891388,0.00816002522373762,0.00205087984893096
"203","thiamine-phosphate","15N","HBBD",0.00145808638892255,0.00220978927398051,0.00841745991876583,0.000838412594754915
"204","thiamine-phosphate","15N","SML",0.00155576007251584,0.00349992454510657,0.00666494190780267,0.00198406244416421
"205","thymine","15N","BBD",NA,NA,NA,NA
"206","thymine","15N","HBBD",NA,NA,NA,NA
"207","thymine","15N","SML",NA,NA,NA,NA
"208","trehalose-6-Phosphate","15N","BBD",NA,NA,NA,NA
"209","trehalose-6-Phosphate","15N","HBBD",NA,NA,NA,NA
"210","trehalose-6-Phosphate","15N","SML",NA,NA,NA,NA
"211","trehalose/sucrose","15N","BBD",NA,NA,NA,NA
"212","trehalose/sucrose","15N","HBBD",NA,NA,NA,NA
"213","trehalose/sucrose","15N","SML",NA,NA,NA,NA
"214","UDP-D-glucose","15N","BBD",0.000881639665588291,0.000185316527389782,0.873769326458354,0.00871497319068075
"215","UDP-D-glucose","15N","HBBD",-0.000147525998735087,0.000295952324868144,0.916682178221531,0.0268175625707406
"216","UDP-D-glucose","15N","SML",0.00023305750153664,0.000552187556184551,0.935900064703001,0.0120083779804168
"217","UDP-D-glucuronate","15N","BBD",0.000812827731206401,0.000237246650037244,0.877846571467026,0.00763490557107374
"218","UDP-D-glucuronate","15N","HBBD",1.35637808385852e-06,0.00010760911196982,0.947250593646855,0.0101576912289683
"219","UDP-D-glucuronate","15N","SML",5.0252701565455e-05,0.000331564312571034,0.972839803020405,0.00691071388006301
"220","UDP-N-acetyl-glucosamine","15N","BBD",0.00200290712351885,0.000340798438671156,0.93088068826338,0.0128830418221767
"221","UDP-N-acetyl-glucosamine","15N","HBBD",0.000314386448086735,0.000328349362597331,0.936435803196783,0.0076381758882316
"222","UDP-N-acetyl-glucosamine","15N","SML",0.000507141655061829,0.000533959134720217,0.938645134052704,0.0131090488813377
"223","UMP","15N","BBD",NA,NA,NA,NA
"224","UMP","15N","HBBD",NA,NA,NA,NA
"225","UMP","15N","SML",NA,NA,NA,NA
"226","uridine","15N","BBD",0.000100935076209037,0.000704644968362231,0.957745721700181,0.0509560922824656
"227","uridine","15N","HBBD",0.000717741142879914,0.00112638351357778,0.882132626182599,0.042053426287903
"228","uridine","15N","SML",0.000369014137904465,9.15567322709003e-05,1.00630813640288,0.00155218746752364
"229","valine","15N","BBD",0.000827011390009761,0.000117440246582509,0.980290688553135,0.00567369217942229
"230","valine","15N","HBBD",0.000652134093401697,0.000106742700619931,0.998485630298263,0.00280510819000875
"231","valine","15N","SML",0.000638420797287687,3.25207183350968e-05,0.99566683964105,0.00339912433226325
"232","xanthine","15N","BBD",NA,NA,NA,NA
"233","xanthine","15N","HBBD",NA,NA,NA,NA
"234","xanthine","15N","SML",NA,NA,NA,NA
"235","xanthosine-5-phosphate","15N","BBD",NA,NA,NA,NA
"236","xanthosine-5-phosphate","15N","HBBD",NA,NA,NA,NA
"237","xanthosine-5-phosphate","15N","SML",NA,NA,NA,NA
"238","Xanthurenic acid","15N","BBD",NA,NA,NA,NA
"239","Xanthurenic acid","15N","HBBD",NA,NA,NA,NA
"240","Xanthurenic acid","15N","SML",NA,NA,NA,NA
