compound,medMz,compoundId,parent,24_100,24_101,24_102,24_103,24_104,24_105,24_106,24_107,24_108,24_109,24_110,24_111,24_112,24_113,24_114,24_115,24_116,24_117,24_118,24_119,24_120,24_121,24_122,24_123,24_124,24_125,24_126,24_127,24_128,24_129,24_130,24_131,24_132,24_133,24_134,24_135,24_136,24_137,24_138,24_139,24_140,24_141,24_142,24_143,24_144,24_145,24_146,24_147,24_148,24_149,24_150,24_151,24_152,24_153,blank1,blank2,blank3,blank4,blank5,blank6
Carbamoyl phosphate,139.9737,C00169,139.9737,28314.76,2509.673,8548.461,14473.86,6725.394,4459.937,10584.86,13537.19,5125.384,23796.45,9568.723,5655.439,7977.659,9041.942,4440.634,4021.523,9555.774,11338.8,4248.646,3244.946,14901.41,6394.857,4550.651,6803.057,4923.101,5596.946,3924.573,23775.45,12392.15,3718.353,67782.72,6124.311,2046.64,106522.3,7048.642,7210.447,28435.14,2034.352,11732.67,57338.11,54463.73,4177.704,24437.94,13044.33,5006.177,21069.32,7170.824,22030.43,5594.475,7600.458,6348.964,6179.63,9428.304,7307.052,11124.71,707.4227,2289.078,2348.036,497.0809,971.6075
Citraconic acid,129.019,C02226,129.019,1.74E+07,1.43E+07,1.21E+07,1.29E+07,9585539,1.25E+07,1.81E+07,1.57E+07,1.09E+07,1.16E+07,1.44E+07,1.45E+07,1.66E+07,8166354,1.42E+07,1.83E+07,1.45E+07,1.15E+07,1.24E+07,1.25E+07,1.00E+07,1.47E+07,1.25E+07,1.14E+07,8603207,1.10E+07,1.38E+07,1.07E+07,1.76E+07,8146528,1.11E+07,1.29E+07,1.40E+07,1.40E+07,1.80E+07,1.50E+07,1.19E+07,8941810,1.46E+07,8607428,1.54E+07,1.64E+07,1.32E+07,1.65E+07,1.49E+07,1.39E+07,9820076,1.59E+07,1.94E+07,1.38E+07,2.67E+07,1.58E+07,1.54E+07,7053681,1.24E+07,2.22E+07,1.25E+07,9678065,9228351,9615949
cyclic-AMP,328.0445,C00575,328.0445,507039.4,723148.4,934044.7,504300.4,485561.2,412167.9,308704.4,830664.6,402002.3,279084.3,513088.2,807444.6,445852.3,246326,219044.7,300784.1,106687.2,205455.3,607879.8,366503.3,124851.1,944347.6,463578.8,1155850,233052.1,428384,224224.3,312639.7,152577.5,443679.6,368266.8,410521.8,428843.7,392125.5,300360.4,508482.2,231791.6,437739.4,468699.2,174664,1256959,3239588,314297.4,629291.4,1814962,184232.2,521031.8,1326483,89739.88,871265.1,465072.3,243252,1694850,357742.5,1115.914,999.5342,0,1440.101,723.2622,2570.57
cyclic-AMP,329.0458,C00575,329.0458,30976.3,42456.21,79734.16,27574.36,0,0,19343.32,46436.47,11772.61,0,37144.02,62507.7,20849.6,0,2028.138,11594.37,0,7574.239,51243.94,9008.121,0,76949.05,2193.235,78487.12,4226.106,4245.373,0,15911.41,0,19796.94,16495.49,7527.682,2801.598,18483.66,0,31411.77,6777.612,3073.36,24187.3,0,99319.58,243017.6,19118.13,27326.38,136326.3,9149.605,32452.81,130664.7,1579.464,92744.7,15247.94,19491.14,173815.7,8155.068,0,949.841,0,0,0,0
cyclic-AMP,332.0327,C00575,332.0327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634.3687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484.932,0,0,0,5016.581,5240.173,0,0,1697.399,1249.043,0,6255.74,0,4742.577,1290.949,7327.465,16824.8,0,0,0,0,0,0,0
Cystine,240.0145,C00491,240.0145,23566.34,9565.315,8929.635,6435.671,5283.263,19718.43,2464.485,15697.59,14074.9,17169.05,10384.55,20474.91,14510.48,20772.69,21090.65,12570.22,16325.31,9078.791,9808.947,1404.524,12575.66,8037.49,16142.78,23830.89,8389.988,16290.83,14768.99,21358.03,17784.5,23244.38,14998,16571.64,14261.31,18230.5,21684.43,10316.97,7500.349,10884.97,26419.62,20047.53,9919.889,6616.925,4603.658,14688.29,16837.54,21943.85,14814.4,8550.604,17489.25,21263.99,7914.825,27591.11,20620.9,13797.86,0,0,0,0,0,0
Cystine,239.0193,C00491,239.0193,122956.6,115278.1,118656.8,92498.52,136437.3,146269.6,123017.9,157735,132136.5,150091.1,140889.4,144906.4,145377.1,144948.6,117014.8,137948.3,146697.4,115922.8,123999.2,100850.7,96947.83,134659.8,129298.2,114560.5,112870.8,106745.4,143111.1,116958.8,149074.9,97601.57,118251.9,158173.3,139953.5,136289.9,115154.7,124173,114103.8,116030.8,153367.3,128562.9,141658.8,141969.1,129744.1,159857.7,144825.2,139684.1,149432.3,163052.5,172039.4,133293.8,140879.5,122618.7,137442.8,148712.3,0,0,1004.175,4510.602,787.6887,2591.198
cytidine,242.0827,C00475,242.0827,30326.93,557.5715,0,21104.96,518.1196,0,36096.14,604.0309,0,38130.32,640.4131,0,19978.75,1623.598,687.1528,19326.83,0,0,28935.33,0,0,33715.31,0,0,37056.45,612.8262,623.1868,13450.75,0,0,21402.57,525.5366,0,23240.73,0,0,20182.12,0,0,17836.11,0,0,30319.69,600.6524,0,21281.58,0,1461.543,28470.83,0,0,46675.57,583.5975,684.8278,608.8723,0,0,0,0,0
D-glucarate,209.0283,C00767,209.0283,47925.07,40870.63,41207.46,55572.8,37502.71,16729.16,27262.24,32057.79,28854.99,33302.32,31012.81,49615.22,33666.36,49180.45,39820.77,49049.32,48637.99,28849.64,32071.41,29520.41,34499.61,33660.78,34368.38,37644.36,17036.75,12020.28,27261.98,19781.21,87877.94,46387.94,51263.65,42616.73,37097.43,29054.81,74884.91,31957.85,34209.63,15722.09,33640.45,15495.25,33009.14,23034.85,28319.54,24516.6,39804.44,13090.71,25661.8,42027.38,21864.86,25852.21,80128.77,24356.53,35251.55,60175.74,0,0,0,0,0,0
deoxyadenosine,254.0823,C00559,254.0823,29522.38,8490.957,3546.293,26758.31,1485.642,6647.648,32292.78,5772.035,24444.6,31410.02,2080.469,3821.792,13926.29,7686.864,3953.575,29608.46,12950.99,2883.566,14828.23,3273.244,3243.479,23353.85,5809.855,5646.735,21733.05,5724.354,11863.4,29933.07,10805.82,12981.28,40913.25,14074.04,10706.17,53353.03,19108.54,8487.803,33720.75,10413.24,10976.19,43056.34,16778.76,7596.932,30064.58,13396,2935.16,24441.13,12794.96,4403.263,55495.51,18603.12,25446.8,41089.65,5055.255,13015.81,1234.646,1902.658,519.8909,817.413,463.5705,0
