compound,medMz,compoundId,parent,24_100,24_101,24_102,24_103,24_104,24_105,24_106,24_107,24_108,24_109,24_110,24_111,24_112,24_113,24_114,24_115,24_116,24_117,24_118,24_119,24_120,24_121,24_122,24_123,24_124,24_125,24_126,24_127,24_128,24_129,24_130,24_131,24_132,24_133,24_134,24_135,24_136,24_137,24_138,24_139,24_140,24_141,24_142,24_143,24_144,24_145,24_146,24_147,24_148,24_149,24_150,24_151,24_152,24_153,blank1,blank2,blank3,blank4,blank5,blank6
NADP+,742.0684,C00006,742.0684,489601.3,24291.36,45610.35,137163.3,48185.26,22780.88,369375.8,35873.17,43714.6,299241.5,29250.32,8467.215,26241.61,7262.434,6869.207,68477.66,4121.419,17005.98,117677.9,27093.06,18715.86,215431.9,18791.49,4853.85,81207.58,50646.48,16765.68,426336.8,27339.9,50183.16,369879.8,80359.53,32036.23,312249.6,70416.32,19682.28,527933.4,41446.11,42238.52,377062.3,45273.56,45668.69,334665.9,69022.92,7898.022,27394.5,49689.89,28077.25,296258.6,39903.13,41382.13,511760,35243.86,24935.11,0,0,0,0,0,0
NADP+,743.0709,C00006,743.0709,38470.32,1862.02,4518.737,55046.21,3720.651,1988.963,12881.04,0,0,34976.7,0,1682.766,2177.256,0,0,5842.942,0,0,17002.59,2641.607,0,33340.48,0,0,3978.414,1783.464,0,21950.94,2142.338,2359.564,49025.16,5902.789,1866.422,64913.52,2529.952,0,58058.71,3015.766,1647.201,27863.34,1681.995,0,41374.46,1619.026,0,1655.499,0,0,51843.09,2190.016,0,73945.06,0,0,0,2307.082,0,1383.071,1418.388,0
nicotinate,122.0243,C00253,122.0243,243978,215079.4,110345.6,266445.4,259964.8,111872.1,482098.6,122429.5,113133.9,501978.1,311323.6,140538.2,312669.7,302246,114535,347776.3,343961.4,108127.9,389141.2,152893.6,67235.08,339904.4,239945.5,102434.9,389630.9,230330.7,23944.37,292899.2,267658.9,129818.1,502674.2,165203.3,122958.1,570721.6,289639.5,110915.3,345455.7,245161.8,128799.1,342259.9,295185.9,96361.53,577006.1,315123.4,113122.3,300927.4,261846.8,118900.9,424677.1,285064.7,147730.1,692190.1,286596.2,114568.8,200846.8,75986.27,33149.2,20538.8,15760.83,22275.48
ornithine,131.084,C00077,131.084,1984.719,539.1796,0,3320.162,558.939,569.9186,11462.47,1209.952,721.1221,23162.76,5042.482,5957.378,17123,12241.71,6383.457,21818.37,3690.782,5339.408,22966.44,33639.73,21182.83,36132.79,29623.07,28732.02,38957.03,36186.29,21356.73,32825.02,53701.1,43848.31,45582.97,59934.05,53836.8,36213.46,47369.41,34229.91,49356.07,78830.56,49152.24,38701.12,78701.93,115515.6,44073.21,51259.77,34256.5,48274.03,91879.86,77966.63,72233.8,163157.2,110317.5,78102.71,176524.3,112741.8,675.8306,0,0,0,0,0
orotate,155.0117,C00295,155.0117,69096.75,0,0,14693.5,3612.897,2239.487,23117.69,4649.786,2444521,12494.36,3607.476,2715.32,7993.954,724.3757,766.1045,9946.914,931.2056,978.9536,11892.96,3462.588,1667.017,12995.06,755.394,0,12225.55,699.8273,2580.224,24146.42,3955.159,3000.925,19732.35,3181.38,0,29768.27,1573.608,2240.571,82267.53,3248.361,0,18933.44,78055.71,4732.318,19152.76,8585.965,4600.663,12842.38,4003.016,1487.214,19866.78,5023.819,4322.611,17583.95,6533.652,17144.34,983.0229,615.2565,716.4877,0,666.7187,0
p-hydroxybenzoate,137.024,C00156|C00587,137.024,141134.1,206038.8,105560.4,259560.2,168742.2,129846,215381,144279,104864.1,197423.1,241157.1,137376.7,141112.3,168362.7,155755.8,144922.1,150294.4,101569.7,110755.3,105835.5,112438.7,125442.4,122522.3,99846.68,98525.23,123492.2,110748.2,228657.1,182330.3,177475.3,434724.7,177771.7,136789.8,268746.8,166997.9,115434.6,223890.6,164770.2,96280.16,285313.3,161041.8,112253.2,264940.8,125446.6,123654.1,104440.6,154372.4,111632.3,158908.7,112826.5,152396.4,137573.7,117581.9,103600.1,55708.55,81248.08,58966.91,5920.317,8369.918,38494.9
phosphoenolpyruvate,166.9737,C00074,166.9737,151856.5,106846.4,67192.02,110640.5,142007.7,92333.94,222102.7,105364.3,85174.99,176020.3,323435.7,184189.8,156254.2,68219.28,121566.9,211031.6,142305.4,78954.98,151378.9,61147.46,64272.35,109182.6,69477.81,55803.58,71508.03,49560.63,57796.34,275672.1,139762,60503.41,313693.3,119275.6,59228.84,324847.1,147594.8,57152.81,277032.7,89736.24,66411.73,430845.5,287421.2,173717.7,233969,141443.6,6370.803,272458,235886.1,129932.5,260519.3,80388.81,178650.2,154798.2,72326.16,90198.98,380791.4,171127.6,96012.91,54212.44,50986.84,37573.84
purine,121.029,C00465,121.029,1.60E+07,1.37E+07,1.38E+07,1.21E+07,1.09E+07,1.17E+07,1.53E+07,1.16E+07,1.14E+07,1.16E+07,1.01E+07,1.11E+07,1.17E+07,1.23E+07,1.34E+07,1.12E+07,1.39E+07,1.27E+07,1.34E+07,1.45E+07,1.15E+07,1.45E+07,1.22E+07,1.23E+07,1.08E+07,1.31E+07,1.61E+07,1.00E+07,1.34E+07,1.06E+07,6418085,1.26E+07,1.16E+07,1.05E+07,1.20E+07,1.08E+07,9590894,8893822,8718550,4734140,9624199,9723556,1.53E+07,1.02E+07,9170069,8429823,8987427,9104131,1.20E+07,9163384,1.39E+07,1.12E+07,9760348,1.04E+07,6593340,555579.4,975445,52414.34,437547.4,217245
purine,119.0358,C00465,119.0358,422515.2,275352.7,376310.3,316447.3,453581.3,510045.6,597331.9,932745.2,494292,278947.1,456952.5,759211.9,200582.4,589012.2,351092.2,402353.8,396814.3,332710.2,350370.4,611544.9,401770.5,716265.8,546870.1,347738.8,308685,506603.3,545194.8,404847.5,398417.3,548028.1,286499.8,592087.2,491371.5,545384.4,399012.9,439275.3,184526.9,204851.2,299927.6,471164.9,486140,313281.4,478874.6,238719.9,250327.3,140770.2,240849,246770.2,445515.1,263995.4,398071.2,309197.8,381353,366788.3,179265.6,564524.4,677375.3,188925,467659.1,409243.7
Pyroglutamic acid,128.0349,C01879,128.0349,3.08E+07,1.79E+07,3.99E+07,9.36E+07,2.49E+07,2.19E+07,5.39E+07,3.11E+07,2.42E+07,5.14E+07,6.64E+07,1.01E+08,2.09E+07,2.34E+07,1.94E+07,1.55E+07,1.62E+07,2.81E+07,5.11E+07,1.37E+07,8.13E+07,3.19E+07,1.36E+07,9833658,3.54E+07,1.23E+07,3.21E+07,8.05E+07,2.90E+07,3.85E+07,1.60E+08,2.51E+07,2.55E+07,1.99E+08,3.19E+07,3.22E+07,6.06E+07,3.02E+07,2.20E+07,9.00E+07,2.21E+07,1.19E+07,6.19E+07,1.96E+07,1.79E+07,1.84E+07,3.85E+07,3.07E+07,2.64E+07,1.64E+07,1.27E+07,2.12E+07,8336680,2.27E+07,854084.9,250819.5,312028,186686.7,213272,267537.2
Pyroglutamic acid,129.0307,C01879,129.0307,87374.49,54934.84,57636.29,92936.36,42684.85,62778.17,76936.02,45480.56,12892,207943.3,76999.23,107901.9,94702.09,43460.36,52047.91,106927.8,40843.75,64258.89,202478.7,35549.59,89937.29,269424.8,43520.7,38039.03,255302.9,33626.61,76499.57,319785.5,137843.8,96101.29,330698.3,103639.6,91342.95,401067,234605.3,120458.1,394127.4,123542.9,147557.2,288430.1,172939.9,194663.2,244490.6,91609.41,84271.12,313387.5,175033.6,248388.2,1033704,262672.6,224169.6,573153.3,347753.8,174134.5,207520.3,73029.21,51683.91,37119.46,41037.64,52754.27
pyruvate,87.00809,C00022,87.00809,1.46E+07,9412381,1.73E+07,2.98E+07,1.00E+07,9369042,1.93E+07,1.27E+07,9568845,1.77E+07,2.90E+07,3.22E+07,1.24E+07,9689923,1.13E+07,1.17E+07,1.20E+07,1.16E+07,1.75E+07,4792740,1.08E+07,8735879,6620980,3810046,7046084,5024648,1.33E+07,1.79E+07,1.11E+07,2.63E+07,3.65E+07,1.11E+07,1.35E+07,4.69E+07,1.34E+07,1.17E+07,1.99E+07,1.25E+07,9646175,2.94E+07,1.10E+07,6061416,2.18E+07,1.10E+07,8434023,1.12E+07,1.14E+07,1.09E+07,1.37E+07,7498969,8169838,8422353,3972926,8920860,1.71E+07,4519602,1653350,616506.9,487160.5,332147.9
quinolinate,166.017,C03722,166.017,44418.56,22047.04,42319.53,100497.2,40353.55,24175.34,84047.84,55909.44,35805.29,92594.51,87372.62,138459.3,37016.21,32236.51,27233.56,29520.7,25157.41,37460.05,53004.86,11892.62,79141.31,36067.52,20595.77,4702.159,38896.46,13448.38,46548.89,104127.4,50959.93,50859.94,257638.8,42730.95,36478.7,301190.6,56583.53,44101.94,88984.71,42239.02,25906.88,135540.5,42462.21,16338.04,99191.38,36972.04,28041.59,28209.69,63011.18,47886.06,48523.2,25174.87,23081.05,32767.11,8581.088,39255.47,0,0,0,0,0,0
serine,104.0347,C00065,104.0347,70305.15,75944.18,103100.1,118431.4,79644.15,58786.89,82432.68,80371.15,71817.58,44577.04,82588.98,179488.3,41843.89,57358.94,79467.6,56534.41,84115.35,75362.98,121094.3,85634.82,96999.77,86613.7,61252.96,76110.88,81928.32,69333.71,73962.55,87215.06,66042.65,51482.05,97184.19,80731.41,93277.62,116708.7,41016.61,66799.52,86510.62,94214.43,70857.74,83929.72,53667.22,101415.9,132155.4,90490.41,99634.57,65722.42,67963.8,115007.4,87376.27,53328.99,75825.7,72922.07,54913.52,63303.1,18613.17,19878.11,13921.45,8930.547,32401.29,18677.26
sn-glycerol-3-phosphate,171.0052,C00093,171.0052,113987.7,129489.3,94498.13,139367.6,103997.8,92158.41,124371.1,125465.9,89441.78,104735.9,100589.3,100780.6,85916.62,126922,98344.55,89002.98,92350.59,102026.6,120413.2,107232.7,77933.81,95148.28,95889.48,100783.2,88365.28,109091.6,99592.14,168838.3,112804.3,105983.6,194588.2,109251.7,70339.84,193689.5,134194.1,71175.28,120681.9,120734.1,72596.95,147352.4,127485.8,75611.72,132343,117888.3,85301.8,96299.57,122252.9,72357.04,114080.8,112715.9,79170.48,83723.58,88568.51,77879.7,96794.99,13107.69,8728.389,582.7538,930.9872,803.363
succinate,117.019,C00042,117.019,1.07E+07,7207467,3131619,8850131,4105716,7000030,9055937,3412138,4171792,7573604,4089788,5720570,5997006,4168567,4733486,7192584,9531630,4039606,6016720,5535254,4859960,8518452,4625430,3654080,3697933,4805808,6642165,1.28E+07,8844638,4192684,1.15E+07,7992588,9619403,1.23E+07,1.42E+07,4429930,8335458,8699573,3081642,1.08E+07,6061374,5218714,1.51E+07,6225388,7866188,8481502,3854354,2934116,1.36E+07,8275192,5993256,9057233,5487998,5098805,1470336,2.03E+07,4850950,3746744,2709221,3282946
taurine,124.0068,C00245,124.0068,63119.12,4659.186,2850.172,65272.06,2100.881,1366.537,63678.55,0,0,37057.08,2538.071,3244.646,29938.53,0,1514.483,38532.46,1124.29,1340.377,88618.23,2577.845,1317.277,66913.06,11940.42,1281.823,122112.8,0,0,33126.49,3390.024,0,12772.59,0,2005.326,99237.8,1468.754,2404.106,26842.53,2081.497,1485.776,11698.4,4335.011,948.5747,51497.34,4445.339,4881.328,25537.52,3735.726,1246.027,134537,2534.957,0,112259.6,2422.775,0,0,0,0,0,0,0
thiamine-phosphate,348.0547,C01081,348.0547,2209937,1840725,1621445,1808042,2661948,2238202,2621806,2316290,2425108,2732480,2221651,2208760,2063176,2236383,2110968,2618221,2352842,1599181,1532840,1788774,1482643,1853992,1870922,1592861,1638145,1649559,2257411,2327312,3022950,2356604,2861572,2447077,2454410,2793082,3339189,2304377,2756144,2678380,2397703,3148948,2640693,2414538,2523130,2671647,2174476,2497899,3293768,2374971,3102098,2427712,2775499,2538941,2416787,3129651,0,0,0,0,0,0
thiamine-phosphate,347.06,C01081,347.06,497596.6,410449.2,363555.7,391783.3,579102.1,488800.5,591258.6,527129.4,527500.9,598937.4,490270.6,482237.5,448483.1,493655.3,438701.2,576923.1,524488.2,381988.5,359585.4,406931.3,342695.3,440798.9,448925.3,362338.9,388009.6,376241.8,525306.5,534803.8,679804.6,511725.3,650586.6,559385.8,526022.3,623760,743575.9,516772.5,605622.2,574732.2,527216.9,689659.2,583212.1,534230.1,556220.9,592582.2,481207.7,569071.2,713747.3,512274.6,647123.6,521064.4,620473.1,564530.5,542987.9,682915.2,1198.295,0,0,0,0,0
thiamine-phosphate,345.0622,C01081,345.0622,166376.2,120657.2,101704.9,44694.36,268506.5,166244,198015.6,254942.4,212474.6,289632.9,205654.5,200932.4,224040.2,138665.5,193934.5,288788.9,261822.4,61175.84,27105.77,134383.3,45831.98,87541.48,122942.8,146002.7,73411.25,66209.47,166155.8,131514.9,321214.5,217684.3,229310.3,265194.6,260624.4,244108.1,363852.7,202293.4,280030.7,254885.5,215153,318308.4,276982.3,250964.6,149317.5,298513,189054,233048.2,371470.7,226798,316434.6,241086,288701.2,272324.3,252940.4,311318.9,0,0,0,0,0,0
thiamine-phosphate,344.0724,C01081,344.0724,14486.46,20771.54,14847.03,30822.33,36824.81,19467.46,21021.79,37909.54,19686.69,27028.73,26088.8,31496.61,16255.85,24425.92,12078.01,12530,17391.21,9280.551,10943.32,13518.48,18058.43,15775.2,16785.09,12064.23,14500.79,17069.66,14968.36,24752.1,25327.53,20394.85,53546.43,35810.5,20127.14,44826.85,26823.75,20689.47,22179.44,28184.19,17962.45,38104.25,28933.46,11575.01,27337.69,28705.42,16529.27,9963.937,36758.93,17149.49,17291.56,26010.28,19854.05,14505.37,17750.58,28282.92,0,0,0,0,0,0
thymine,125.0351,C00178,125.0351,193563.6,459698.9,325390.4,150538.1,406766.8,502050.6,302730.7,828786.9,411245.4,216754.1,494704.5,167913,168325,712503.2,358031.8,238615,365869,265865.9,234531.6,428302.1,164399.3,216617.7,789974.7,347628.3,187598.3,361051,199433.5,175175.4,343736,170491.8,172426,461667.4,328526.8,254435.6,440745.3,172959.6,229007.8,344443.3,175255.9,246997.6,382097.3,185039,240816.3,467495.5,209213.6,236816.3,329897.2,178882.2,253943.9,564761.6,229193.4,249815.7,490283,269460.8,32543.61,61637.84,28395.46,22689.81,29285.35,18421.91
trehalose-6-Phosphate,421.0713,C00689,421.0713,26533.66,20553.36,16462.04,17928.47,19000.88,21076.21,21746.5,18253.47,19075.46,16454.97,11836.69,15873.12,9876.895,12138.7,16243.68,15503.74,10621.07,10080.5,11662.05,14008.7,11482.53,23072.38,11130.12,12056.35,12019.97,13070.44,18436.03,23985.5,25617.29,14488.55,15072.66,24141.04,10505.56,15840.32,21151.56,15428.82,16673.39,7941.817,17685.97,19762.13,18485.36,14546.39,11943.83,18699.97,19322.69,21274.88,21958.76,10195.19,29194.72,14924.49,23002.98,16948.23,15700,20917.06,0,0,0,0,0,0
trehalose/sucrose,341.1083,C00089,341.1083,169184.3,70086.38,77005.45,108352.7,7755.898,33273.09,93216.02,74326.17,454703.4,77639.59,59630.21,110584.2,80731.27,39911.57,19415.76,19844.63,13399.16,44632.04,134468.8,14265.09,40826.12,77691.98,6001.774,28920.48,104243.3,47167.68,26411.32,113347.1,31473.31,28517.94,150905.8,32978.28,35688.69,203225.8,29028.82,24826.57,117766.7,32441.64,24184.13,100588.1,86789.1,20376.42,205838.7,16146.23,51579.89,51132.14,65636.88,45389.57,96409.58,245827.6,11784.82,88884.76,33511.05,12400.37,3220.765,762.6636,606.9673,1169.219,1962.009,719.9269
UDP-D-glucose,565.0468,C00029,565.0468,3580983,305697.2,387629.6,2799616,295571.7,278319.9,2539007,190420.4,388243.4,2714858,326683,288992,757154.8,247843.6,199341.7,1176884,97581.65,171262.2,2048497,414052.2,180948.5,3106046,184053.9,421338.2,2428487,378948.1,114485.4,2830655,211252.3,509832.3,2987114,333125.3,449829.1,2826790,327445.5,390291.2,2962052,297464,297114.2,2363317,542467.9,557495.2,2998894,394536.9,385860.2,1805594,294095.3,396688.8,2257597,366184.1,327170.8,2876837,409538.2,109374.7,0,0,0,883.4075,0,0
UDP-D-glucose,566.0495,C00029,566.0495,563744.1,23946.22,22328.59,379015.3,20696.74,14840.49,274464.8,52830.11,15891.84,356005.1,7104.513,28632.29,78562.62,6903.286,6590.821,137248.5,9996.974,8944.117,226143,24026.76,9100.621,335044.6,28468.8,44319.26,287531.6,40457.71,3543.323,391627.5,12233.57,16531.96,378292.7,14437.66,23005.64,324845.2,11202.17,30656.68,369535.5,14256.15,19098.47,228628.7,39422.19,64593.29,331529.1,24804.19,43512.71,201870,0,45622.59,142610.8,25600.65,19466.65,286529.9,36740.87,0,0,0,0,0,668.9104,0
UDP-D-glucose,567.0457,C00029,567.0457,105380.8,1045.469,5546.166,76248.36,0,1525.971,50540.49,0,0,47051.15,2211.545,2151.921,8399.47,0,734.1097,27364.48,0,0,59440.96,6917.647,1256.069,94428.24,721.6837,3058.646,81667.66,746.7921,9682.093,223714.9,3323.686,0,247311.9,1908.201,971.1638,147996.4,1468.914,2138.167,348823.8,9319.218,1032.529,223426,10836.63,13545.31,217461,2729.148,4196.607,363207.4,2284.538,16300.42,450143.8,8140.702,19900.32,388820.3,22627.71,0,0,0,0,0,0,0
UDP-D-glucuronate,579.0266,C00167,579.0266,2637279,138650.4,111270.5,2067499,225339.9,174114.8,2010482,205517,160689.9,2189113,193004.4,118337.5,742775.6,216387.8,114656.9,1135184,188991.9,85121.95,1479639,230904.7,123870.8,2437652,219367.9,136889.2,1880707,233509.4,107242,2728322,280929.2,174134.7,2613443,308405.7,151532.3,2444127,268556.5,145704.1,2268810,257876.4,140911,2283717,241771.9,153321.2,2725935,213165,120370.8,1502089,223080.3,106869.1,2502502,213147.7,126161.1,2722915,233285.1,155499.1,0,0,0,0,1036.791,0
UDP-D-glucuronate,580.0295,C00167,580.0295,376753.7,5240.442,2701.248,296860,8715.902,7432.428,277168.8,8636.111,3402.796,305874.3,9273.576,2062.756,64898.88,12679.65,1894.217,127963.4,9076.381,0,160638.8,8276.361,4073.947,314433.4,17715.73,1732.798,239902.4,10983.17,1384.656,317109,10504.76,10820.68,325590.6,20447.03,5150.69,304431.9,25752.2,7988.217,262840.2,10675.81,1422.695,246533.2,21967.32,2460.524,326052.1,12065.93,4916.656,149495,5794.679,3490.221,276129.6,10921.37,0,291387.3,14938.43,9589.687,0,0,0,0,0,1092.765
UDP-D-glucuronate,581.025,C00167,581.025,83308.01,0,0,46770.92,0,0,26897.98,1098.452,2850.516,29599.98,0,1131.808,4344.223,0,0,13744.31,0,0,35204.67,1449.018,0,60377.06,2015.786,0,53465.15,1128.329,0,146273.8,0,1204.228,126252.8,1011.075,1219.476,86909.08,0,0,216992.4,1192.537,0,211544.9,2311.18,0,162531.5,0,0,229724.8,0,0,448032.4,0,0,337841.1,0,1421.764,1519.029,1637.384,0,0,0,0
UDP-N-acetyl-glucosamine,606.0733,C00043,606.0733,1171096,1238290,958369,1202993,1255498,808923.8,977328.8,1522071,1010816,964153.8,1197174,679965,510638.2,1223056,632145.9,596431.6,739387.5,484982.9,735591.3,1166808,664522.9,824518.8,1133579,951721.9,717167.6,1250111,571901.3,816650.8,1182506,1057930,900676.6,1242947,878435.8,948481.8,1133936,781061.6,727452.8,1099049,779097.2,661001.1,1593264,1100716,747340.7,1287397,864855.2,700512.4,1187063,704129.7,539808.1,852290.4,615668.1,650217.6,1130433,728345.7,0,0,0,670.7066,0,978.6374
UDP-N-acetyl-glucosamine,607.0753,C00043,607.0753,97183.64,79119.73,105689.7,98635.52,113261.9,84139.95,26990.52,119520.8,67731.08,71871.76,113357,32273.51,10879.04,38623.02,30047.84,15616.57,49521.2,31291.38,52157.95,70470.73,15799.05,92698.88,81645.05,90437.55,69802.79,61076.21,22857.09,153695.1,97689.59,56128.9,180176.2,54183.72,67827.89,157070.2,48986.89,68277.55,166790.1,35729.35,32053.86,96971.53,217058,153943.6,136914.7,103933.8,78547.3,204596.7,110404.4,107564.9,169080.8,61366.69,107615.6,124749.8,164863.9,36609.98,0,0,0,0,0,0
UDP-N-acetyl-glucosamine,608.0746,C00043,608.0746,8136.474,15048.75,0,0,5431.037,0,0,0,0,0,20975.53,0,13322.45,0,0,0,13878.27,0,3761.755,0,0,5164.765,0,10499.78,7182.921,0,9826.687,17194.18,0,0,24607.15,11438.84,0,2931.766,14957.02,0,29182.82,0,11075.57,9282.088,33175.6,43284.4,21561.58,9001.914,2665.846,55518.93,11162.92,0,32753.91,2739.927,0,29156.77,13035.6,0,0,0,0,0,0,0
UDP-N-acetyl-glucosamine,609.0688,C00043,609.0688,0,0,0,0,0,0,0,0,0,0,0,0,15420.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3489.757,0,0,2811.128,0,0,0,0,0,4101.534,0,0,0,1250.536,0,18661.79,0,0,13189.46,0,16141,2493.159,8427.429,0,9168.334,0,0,0,0,0
UMP,323.0283,C00105,323.0283,380813.9,33966.53,75109.48,595784.2,222838.1,58743.34,224670.5,69209.06,74497.68,452846.5,80960.48,42484.42,113622.2,124392.7,43120.23,147686.8,15203.56,10630.16,59783.2,140230.2,58040.79,184377.5,95412.73,108766.5,184076.5,135663.9,43141,110126.7,78633.03,25170.34,202478.3,124317.9,87265.84,316774.7,81466.71,12485.13,238431.1,58213.66,36054.4,74836.57,72447.89,57617.07,125512.3,132767.1,73712.7,186984.4,52975.59,43935.97,147952.8,231999.3,111298,297320.1,125522.1,43760.1,12835.73,929.1659,812.3801,716.5305,588.4548,637.0876
uridine,243.0643,C00299,243.0643,130836.6,21017.81,19239.88,89021.27,23906.02,26594.77,157875.9,27444.11,26987,142691,23005.89,21767.2,96594.69,21713.39,18340.62,117374.9,22634.02,23839.91,112070.4,16441.68,16041.19,132258.6,14370.54,19141.98,92949.06,18894.85,14471.63,70613.53,21068.07,16563.16,115563,23772.34,22678.28,115477.3,21707.65,21208.81,92891.98,18862.85,15232.26,180980.7,31758.06,14816.16,106392.1,19084.01,20065.07,67796.73,26604.31,19548.51,165272.5,22698.51,15001.36,164915.9,15701.15,13442.57,571.2214,562.702,0,0,0,0
uridine,245.0569,C00299,245.0569,0,4212.05,0,35567.56,4843.011,0,1149.991,1265.585,0,3040.464,559.6213,0,2035.553,563.4933,0,491.4361,459.0282,0,557.9021,1123.905,0,1678.91,3585.726,0,706.4852,3645.558,0,4082.642,2731.295,0,1948.658,8530.774,0,1020.504,6954.466,0,0,3927.055,0,652.8295,4807.853,0,739.3889,7395.822,0,642.5566,6305.92,0,7654.369,2022.527,0,6280.924,3419.08,771.6528,0,0,0,0,0,0
uridine,244.0618,C00299,244.0618,0,0,0,0,0,0,0,0,0,528.811,0,0,2057.645,0,0,0,0,0,2268.647,0,0,1571.955,0,0,1290.776,0,0,1025.103,0,0,835.7015,588.3702,0,0,0,0,2872.052,0,0,2915.311,0,0,4524.75,0,0,0,0,0,8943.788,0,595.8902,12968.68,0,0,3896.275,623.4154,2818.629,0,0,0
valine,116.0711,C00183,116.0711,216001,230441,212667.8,403317.4,225760,144017.4,277809.8,268220.4,171890.8,218721.9,376534.8,337635.6,162492.8,213027.4,158936.5,129252.4,161834.5,129688.4,287072.2,158258.9,266321.2,201073.2,238825.1,114516,155265.2,190242.3,176600.2,260541.6,240739.4,221076.6,413459.2,233240.6,195015.1,501342.4,222653.8,203394.1,210018.8,217475.1,194819.7,245405.3,229908.1,132934.4,250259.3,188303.5,226438.2,157426,222050.4,177063.1,174952.6,228745.7,129802.9,199962.8,207539,168256.6,20218.89,10078.77,7800.063,9549.098,5848.358,9585.79
valine,117.0672,C00183,117.0672,1030.153,859.5125,511.6182,1080.304,1242.783,4385.692,1017.646,1360.534,1060.229,6506.126,0,3663.579,571.5957,1815.114,1016.187,8879.108,1553.933,1547.597,8601.744,2257.11,3853.702,18155.82,910.1992,1098.995,8424.765,2683.872,2019.963,15427.16,5784.941,2302.331,14808.2,5571.952,3565.769,14841.19,608.1893,2533.202,9728.895,9927.255,11131.26,9189.697,8249.351,4626.386,17643.59,7246.47,6733.917,17266.42,15189.99,14668.04,25779.8,19253.84,12125.91,30243.47,21548.44,15456.83,763.8421,2198.703,7893.554,833.4039,3030.103,2189.363
xanthine,151.0281,C00385,151.0281,39350.8,10670.12,15669.05,79627.85,18065.94,8909.338,72378.38,14938.37,11752.63,73201.45,29441.89,29007.29,55329.31,15232.4,8163.408,24076.64,8673.135,12877.8,46331.41,7018.374,13517.39,76390.99,8121.456,4723.679,336870.6,7231.948,7196.313,72193.55,8427.531,16358.64,92113.11,12153.18,8848.942,112274.1,23001.05,14574.13,71887.01,5333.826,7545.829,74584.53,13958.62,6458.896,86934.41,10187.04,15507.09,35648.06,27999.07,15561.21,62746.11,12336.81,6666.123,60929.24,6097.36,11383.11,0,521.9684,505.6131,0,0,477.3094
xanthosine-5-phosphate,364.031,C00655,364.031,59420.99,39476.05,49785.49,44927.12,64489.75,49567.41,81581.23,55580.76,46741.39,67019.82,43485.76,49012.27,44674.38,32333.62,56469.18,60466.61,59409.78,38411.4,52738.51,50347.25,38286.83,50752.57,61086.02,41811.85,46573.09,45279.04,47835.25,59157.86,74401.45,49389.96,66334.41,56896.23,52321.58,64091.88,78530.84,50549.62,58314.67,49365.19,59025.24,38305.94,45880.93,46113.75,47339.31,64271.47,54559.2,64942.96,48038.66,46360.22,62399.86,45765.46,74428.41,56449.41,53953.78,73183.4,0,0,0,0,0,0
Xanthurenic acid,204.0301,C02470,204.0301,63760.8,48190.32,51125.18,68522.27,68005.37,58689.36,65501.73,37435.35,62541.61,47235.25,70726.32,66369.05,72748.88,48013.18,72891.33,62879.51,66126.2,66435.23,57952.78,45343.42,66866.44,53872.88,62942.66,56506.41,65842.91,48404.54,64917.64,57723.81,83630.22,79323.93,60794,50520.25,72604.26,49869.26,72536.01,65635.38,38820.7,46354.8,60070.47,51923.96,58280.91,63299.16,57714.07,62713.54,43143.71,53478.77,61825.6,56275.66,70950.45,68209.37,105198.9,54381.33,53094.51,91285.66,19334.08,24006.77,26280.06,44756.64,43099.46,36703.42
